"Cycle","Susceptible","FP","Exposed","Asympt","Symptoms","TP","Recovered","Dead","Superspreader Event","Persons Tested","Total TPs","Total FPs","Total TNs","Total FNs","Day","True Positive","False Positive","Total","New Infections","Cumulative Infections","%Cumulative Infections"
52,997.049945632032,0,0.376486537968932,1.27098276561294,0,0,1.30258506438652,0,0,1.10839594686031e-13,0,0,1.10704695092952e-13,1.38573043504519e-16,17.6666666666667,0,0,0,0.044852064421303,2.95005436796839,0.00295005436796839
53,997.004687299984,0,0.379913032465172,1.28255310874568,0,0,1.33284655880587,0,0,1.10835888067223e-13,0,0,1.10699760213657e-13,1.39834472374261e-16,18,0,0,0,0.0452583320483438,2.99531270001673,0.00299531270001673
54,996.959019033515,0,0.383368739771326,1.29422868912882,0,0,1.36338353758553,0,0,1.10832147949128e-13,0,0,1.10694780634194e-13,1.41107433028524e-16,18.3333333333333,0,0,0,0.0456682664689504,3.04098096648568,0.00304098096648568
55,996.912937141932,0,0.386854104712885,1.3060102469813,0,0,1.39419850637432,0,0,1.10828374002852e-13,0,0,1.10689755949965e-13,1.42391999163403e-16,18.6666666666667,0,0,0,0.0460818915828179,3.0870628580685,0.0030870628580685
56,996.866437909387,0,0.390369547845185,1.31789855432286,0,0,1.4252939884453,0,0,1.10824565900826e-13,0,0,1.10684685753872e-13,1.43688248980125e-16,19,0,0,0,0.0464992325448424,3.13356209061334,0.00313356209061334
57,996.819517593767,0,0.393915469260656,1.32989441152019,0,0,1.45667252545299,0,0,1.1082072331622e-13,0,0,1.10679569636166e-13,1.44996264659502e-16,19.3333333333333,0,0,0,0.0469203156204914,3.18048240623384,0.00318048240623384
58,996.772172425705,0,0.397492251849471,1.34199864433835,0,0,1.48833667810823,0,0,1.10816845922433e-13,0,0,1.10674407184307e-13,1.46316131912944e-16,19.6666666666667,0,0,0,0.0473451680622215,3.22782757429606,0.00322782757429606
59,996.724398607701,0,0.401100264092329,1.35421210142468,0,0,1.52028902678295,0,0,1.10812933392661e-13,0,0,1.10669197982834e-13,1.47647939599004e-16,20,0,0,0,0.0477738180039104,3.27560139229997,0.00327560139229997
60,996.67619231333,0,0.404739862452777,1.36653565216293,0,0,1.55253217205497,0,0,1.10808985399516e-13,0,0,1.10663941613265e-13,1.48991779396019e-16,20.3333333333333,0,0,0,0.0482062943707067,3.32380768667067,0.00332380768667067
61,996.627549686528,0,0.408411393426768,1.37897018484428,0,0,1.5850687352017,0,0,1.10805001614699e-13,0,0,1.10658637653993e-13,1.5034774552277e-16,20.6666666666667,0,0,0,0.0486426268020771,3.37245031347275,0.00337245031347275
62,996.578466840942,0,0.41211519529883,1.39151660510969,0,0,1.61790135865038,0,0,1.10800981708722e-13,0,0,1.10653285680199e-13,1.51715934500244e-16,21,0,0,0,0.0490828455861475,3.4215331590589,0.0034215331590589
63,996.528939859338,0,0.415851599647116,1.40417583462441,0,0,1.65103270639108,0,0,1.10796925350659e-13,0,0,1.10647885263774e-13,1.53096444948572e-16,21.3333333333333,0,0,0,0.0495269816037116,3.47106014066261,0.00347106014066261
64,996.478964793057,0,0.419620932633505,1.41694880995128,0,0,1.68446546435833,0,0,1.10792832207936e-13,0,0,1.10642435973245e-13,1.54489377414101e-16,21.6666666666667,0,0,0,0.0499750662805129,3.52103520694312,0.00352103520694312
65,996.428537661511,0,0.423423516109723,1.42983648159426,0,0,1.71820234078574,0,0,1.10788701946142e-13,0,0,1.10636937373713e-13,1.55894834222226e-16,22,0,0,0,0.0504271315466075,3.57146233848973,0.00357146233848973
66,996.377654451709,0,0.427259668565986,1.44283981318754,0,0,1.75224606653799,0,0,1.1078453422887e-13,0,0,1.10631389026789e-13,1.57312919352313e-16,22.3333333333333,0,0,0,0.0508832098017875,3.62234554829152,0.00362234554829152
67,996.326311117823,0,0.431129705944845,1.45595978080946,0,0,1.78659939542341,0,0,1.10780328717574e-13,0,0,1.10625790490538e-13,1.58743738331497e-16,22.6666666666667,0,0,0,0.0513433338861909,3.67368888217771,0.00367368888217771
68,996.274503580767,0,0.435033942339656,1.4691973724031,0,0,1.8212651044903,0,0,1.10776085071444e-13,0,0,1.1062014131943e-13,1.60187398144667e-16,23,0,0,0,0.05180753705535,3.72549641923306,0.00372549641923306
69,996.222227727808,0,0.438972690594288,1.48255358728839,0,0,1.85624599430942,0,0,1.10771802947293e-13,0,0,1.10614441064285e-13,1.61644007158285e-16,23.3333333333333,0,0,0,0.0522758529590382,3.7777722721921,0.0037777722721921
70,996.169479412185,0,0.44294626281829,1.49602943575231,0,0,1.89154488924486,0,0,1.10767481999463e-13,0,0,1.10608689272237e-13,1.6311367505607e-16,23.6666666666667,0,0,0,0.0527483156233675,3.83052058781547,0.00383052058781547
71,996.116254452749,0,0.446954970829703,1.50962593870628,0,0,1.92716463771515,0,0,1.10763121879735e-13,0,0,1.10602885486678e-13,1.64596512784819e-16,24,0,0,0,0.0532249594356674,3.88374554725113,0.00388374554725113
72,996.062548633618,0,0.450999126535924,1.5233441274007,0,0,1.96310811244625,0,0,1.10758722237254e-13,0,0,1.10597029247226e-13,1.6609263250892e-16,24.3333333333333,0,0,0,0.0537058191317433,3.93745136638288,0.00393745136638288
73,996.008357703833,0,0.455079042261548,1.5371850431888,0,0,1.9993782107177,0,0,1.10754282718452e-13,0,0,1.10591120089681e-13,1.67602147572307e-16,24.6666666666667,0,0,0,0.0541909297851711,3.99164229616805,0.00399164229616805
74,995.953677377034,0,0.459195031030822,1.55114973733241,0,0,2.03597785460314,0,0,1.10749802966994e-13,0,0,1.10585157545986e-13,1.69125172466777e-16,25,0,0,0,0.0546803267983346,4.04632262296638,0.00404632262296638
75,995.898503331139,0,0.463347406811237,1.56523927084379,0,0,2.0729099912063,0,0,1.10745282623711e-13,0,0,1.10579141144188e-13,1.70661822805762e-16,25.3333333333333,0,0,0,0.0551740458949513,4.10149666886133,0.00410149666886133
76,995.842831208025,0,0.467536484723862,1.57945471435829,0,0,2.11017759289305,0,0,1.1074072132655e-13,0,0,1.10573070408408e-13,1.72212215302771e-16,25.6666666666667,0,0,0,0.0556721231138735,4.15716879197521,0.00415716879197521
77,995.786656613221,0,0.47176258122519,1.59379714803336,0,0,2.14778365752063,0,0,1.10736118710529e-13,0,0,1.10566944858796e-13,1.73776467753827e-16,26,0,0,0,0.0561745948039792,4.21334338677919,0.00421334338677919
78,995.729975115601,0,0.476026014264607,1.60826766147028,0,0,2.18573120866428,0,0,1.10731474407683e-13,0,0,1.10560764011505e-13,1.75354699023332e-16,26.3333333333333,0,0,0,0.0566814976199938,4.27002488439918,0.00427002488439918
79,995.672782247082,0,0.480327103420981,1.62286735365515,0,0,2.22402329584215,0,0,1.1072678804703e-13,0,0,1.1055452737865e-13,1.76947029032854e-16,26.6666666666667,0,0,0,0.0571928685191083,4.32721775291829,0.00432721775291829
80,995.615073502324,0,0.484666170021373,1.63759733291649,0,0,2.2626629947387,0,0,1.10722059254524e-13,0,0,1.10548234468277e-13,1.78553578752437e-16,27,0,0,0,0.0577087447582781,4.38492649767657,0.00438492649767657
81,995.556844338432,0,0.489043537244433,1.65245871689704,0,0,2.30165340742719,0,0,1.10717287653022e-13,0,0,1.1054188478433e-13,1.80174470194045e-16,27.3333333333333,0,0,0,0.0582291638921022,4.44315566156867,0.00444315566156867
82,995.498090174661,0,0.493459530210695,1.66745263253777,0,0,2.3409976625914,0,0,1.10712472862243e-13,0,0,1.10535477826615e-13,1.81809826406863e-16,27.6666666666667,0,0,0,0.0587541637711984,4.50190982533987,0.00450190982533987
83,995.43880639212,0,0.497914476061619,1.68258021607218,0,0,2.38069891574706,0,0,1.10707614498739e-13,0,0,1.10529013090769e-13,1.83459771474164e-16,28,0,0,0,0.059283782541002,4.56119360788087,0.00456119360788087
84,995.378988333479,0,0.502408704029031,1.69784261302969,0,0,2.42076034946307,0,0,1.10702712175858e-13,0,0,1.10522490068228e-13,1.85124430511526e-16,28.3333333333333,0,0,0,0.0598180586409245,4.62101166652179,0.00462101166652179
85,995.318631302675,0,0.506942545496292,1.71324097824649,0,0,2.46118517358282,0,0,1.1069776550371e-13,0,0,1.10515908246191e-13,1.86803929666211e-16,28.6666666666667,0,0,0,0.0603570308038201,4.68136869732561,0.00468136869732561
86,995.257730564619,0,0.511516334052416,1.72877647588307,0,0,2.50197662544583,0,0,1.10692774089141e-13,0,0,1.10509267107592e-13,1.8849839611753e-16,29,0,0,0,0.0609007380557127,4.74226943538133,0.00474226943538133
87,995.196281344903,0,0.516130405540116,1.74445027944723,0,0,2.54313797010972,0,0,1.10687737535698e-13,0,0,1.10502566131063e-13,1.90207958078059e-16,29.3333333333333,0,0,0,0.0614492197157459,4.80371865509707,0.00480371865509707
88,995.134278829507,0,0.520785098098645,1.760263571822,0,0,2.58467250057274,0,0,1.106826554436e-13,0,0,1.10495804790902e-13,1.91932744795572e-16,29.6666666666667,0,0,0,0.0620025153963202,4.86572117049339,0.00486572117049339
89,995.071718164504,0,0.525480752202186,1.77621754529751,0,0,2.62658353799708,0,0,1.10677527409711e-13,0,0,1.10488982557045e-13,1.93672886555611e-16,30,0,0,0,0.0625606650033905,4.92828183549678,0.00492828183549678
90,995.008594455767,0,0.530217710694397,1.79231340160654,0,0,2.66887443193273,0,0,1.10672353027508e-13,0,0,1.10482098895027e-13,1.9542851468457e-16,30.3333333333333,0,0,0,0.0631237087368976,4.99140554423368,0.00499140554423368
91,994.944902768675,0,0.534996318819665,1.80855235196291,0,0,2.71154856054241,0,0,1.10667131887051e-13,0,0,1.10475153265955e-13,1.97199761553247e-16,30.6666666666667,0,0,0,0.0636916870913129,5.05509723132499,0.00505509723132499
92,994.880638127819,0,0.539816924251537,1.82493561710248,0,0,2.75460933082724,0,0,1.10661863574961e-13,0,0,1.10468145126471e-13,1.98986760580782e-16,31,0,0,0,0.0642646408562784,5.11936187218127,0.00511936187218127
93,994.815795516702,0,0.544679877118691,1.84146442732641,0,0,2.79806017885349,0,0,1.10656547674384e-13,0,0,1.10461073928722e-13,2.0078964623892e-16,31.3333333333333,0,0,0,0.0648426111173252,5.1842044832986,0.0051842044832986
94,994.750369877445,0,0.549585530028828,1.85814002254611,0,0,2.84190456998031,0,0,1.10651183764968e-13,0,0,1.10453939120327e-13,2.0260855405657e-16,31.6666666666667,0,0,0,0.0654256392566581,5.24963012255525,0.00524963012255525
95,994.684356110491,0,0.55453423809073,1.87496365232996,0,0,2.88614599908855,0,0,1.10645771422834e-13,0,0,1.10446740144343e-13,2.04443620624595e-16,32,0,0,0,0.0660137669539937,5.31564388950925,0.00531564388950925
96,994.617749074304,0,0.559526358934758,1.89193657595123,0,0,2.9307879908107,0,0,1.10640310220547e-13,0,0,1.10439476439233e-13,2.0629498360082e-16,32.3333333333333,0,0,0,0.0666070361874429,5.38225092569669,0.00538225092569669
97,994.550543585069,0,0.56456225273199,1.90906006243721,0,0,2.97583409976192,0,0,1.10634799727089e-13,0,0,1.10432147438832e-13,2.081627817152e-16,32.6666666666667,0,0,0,0.0672054892344271,5.44945641493112,0.00544945641493112
98,994.482734416397,0,0.569642282212171,1.92633539061924,0,0,3.02128791077232,0,0,1.10629239507832e-13,0,0,1.10424752572314e-13,2.10047154775154e-16,33,0,0,0,0.067809168672624,5.51726558360374,0.00551726558360374
99,994.414316299016,0,0.574766812680639,1.94376384918363,0,0,3.0671530391204,0,0,1.10623629124508e-13,0,0,1.10417291264161e-13,2.11948243671013e-16,33.3333333333333,0,0,0,0.0684181173809321,5.58568370098467,0.00558568370098467
100,994.345283920475,0,0.579936212034354,1.96134673672314,0,0,3.11343313076763,0,0,1.10617968135185e-13,0,0,1.10409762934127e-13,2.13866190381578e-16,33.6666666666667,0,0,0,0.0690323785404528,5.65471607952513,0.00565471607952513
101,994.27563192484,0,0.585150850777129,1.9790853617891,0,0,3.16013186259437,0,0,1.10612256094233e-13,0,0,1.10402166997205e-13,2.15801137979768e-16,34,0,0,0,0.0696519956354808,5.72436807516061,0.00572436807516061
102,994.205354912385,0,0.590411102034172,1.99698104294396,0,0,3.20725294263697,0,0,1.10606492552304e-13,0,0,1.10394502863595e-13,2.17753230638344e-16,34.3333333333333,0,0,0,0.0702770124545021,5.79464508761511,0.00579464508761511
103,994.134447439294,0,0.595717341566013,2.01503510881417,0,0,3.25480011032611,0,0,1.10600677056297e-13,0,0,1.10386769938668e-13,2.19722613635687e-16,34.6666666666667,0,0,0,0.0709074730911931,5.8655525607063,0.0058655525607063
104,994.062904017349,0,0.601069947781876,2.03324889814339,0,0,3.30277713672645,0,0,1.10594809149335e-13,0,0,1.10378967622936e-13,2.21709433361634e-16,35,0,0,0,0.0715434219454198,5.93709598265172,0.00593709598265172
105,993.990719113625,0,0.606469301752566,2.0516237598459,0,0,3.35118782477748,0,0,1.10588888370732e-13,0,0,1.10371095312011e-13,2.23713837323355e-16,35.3333333333333,0,0,0,0.0721849037242319,6.00928088637595,0.00600928088637595
106,993.917887150182,0,0.61191578722291,2.07016105306017,0,0,3.40003600953572,0,0,1.10582914255971e-13,0,0,1.10363152396581e-13,2.25735974151252e-16,35.6666666666667,0,0,0,0.0728319634428509,6.08211284981881,0.00608211284981881
107,993.844402503756,0,0.61740979062379,2.08886214720255,0,0,3.4493255584181,0,0,1.10576886336671e-13,0,0,1.10355138262366e-13,2.27775993604895e-16,36,0,0,0,0.0734846464256486,6.15559749624445,0.00615559749624445
108,993.770259505449,0,0.622951701083818,2.10772842202101,0,0,3.49906037144674,0,0,1.10570804140559e-13,0,0,1.10347052290092e-13,2.29834046578966e-16,36.3333333333333,0,0,0,0.0741429983071155,6.22974049455157,0.00622974049455157
109,993.695452440416,0,0.628541910440654,2.12676126764887,0,0,3.54924438149486,0,0,1.10564667191445e-13,0,0,1.1033889385545e-13,2.31910285109222e-16,36.6666666666667,0,0,0,0.0748070650328153,6.30454755958438,0.00630454755958438
110,993.619975547556,0,0.634180813252017,2.14596208465857,0,0,3.59988155453411,0,0,1.10558475009189e-13,0,0,1.10330662329067e-13,2.34004862378457e-16,37,0,0,0,0.0754768928603249,6.38002445244471,0.00638002445244471
